,Unnamed: 0,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
53,53,MSI2_MLP,0.0293832390133049,0.0374655405810299,0.8069536174421265,0.0353670943740057,0.0445098691072891,0.7614382158484088,0.0205272926413965,0.0255537707677413,0.9196476632317108,0.0322284880524452,0.0396895170212853,0.6989433031645822,0.0308874815997883,0.0394716410148324,0.8147489030516082,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
28,28,MSI2_RF,0.0271701225254492,0.0351352639085468,0.8276172933822971,0.0343710470132265,0.0417599969712998,0.7900049020452431,0.0191523985631339,0.0253599846244233,0.9208617406276016,0.0279792883600383,0.036272141917454,0.7485549628757702,0.01909056789125,0.0241976434265044,0.9303795912045956,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 1000}"
103,103,MSI2_Ridge,0.031337781205662,0.0389430153283516,0.7880173021062276,0.035407432572498,0.0443262259177361,0.7634027180819161,0.0238355780718641,0.0292040572826573,0.8950518215038928,0.0347382530495681,0.0415929169350237,0.6693752037778529,0.0320784152408354,0.040804809507041,0.8020237320744971,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
3,3,MSI2_SVR,0.0266568628582758,0.0348193650786686,0.8358973151601815,0.0348070151903867,0.0424016991019663,0.7835015659338596,0.0188676693612006,0.0240949110195249,0.9285603734389324,0.0262992774702967,0.0354720023240321,0.7595260303263046,0.0247648727463161,0.032394892822584,0.8752204202990929,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
78,78,MSI2_XGB,0.0263294734390896,0.0337767519678639,0.8403431158126083,0.032034824668315,0.0401148243538063,0.8062248731998147,0.0189454485630792,0.0239740310074687,0.9292753759718548,0.0279924585471194,0.0351815256855934,0.7634483386267323,0.0219225486641212,0.0279322670890755,0.9072310169465198,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
51,51,MSI_MLP,0.1415795398587878,0.198429105161469,0.5717071544478145,0.248647675451158,0.3052070380159061,0.3840797910198323,0.0972181431591261,0.1189420701318551,0.7308472995466968,0.0794588452547961,0.1053119307662381,0.797028370054008,0.1398284108484838,0.2051264580499125,0.660391041221905,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
26,26,MSI_RF,0.1045586532433928,0.1659300562877841,0.730663122960548,0.1999413945550418,0.2611362485201855,0.549110951297459,0.0519709994711683,0.0724887100480995,0.9000302747346249,0.0621635197931218,0.096557672664767,0.8293706376212859,0.0556526746853765,0.0910588902853753,0.933076216920358,"{'rf__max_depth': 30, 'rf__min_samples_split': 7, 'rf__n_estimators': 100}"
101,101,MSI_Ridge,0.1437564260596169,0.2035988425637323,0.5610247196345313,0.2572577626795823,0.3137076383267412,0.3492928898359467,0.0890545887326117,0.1120580964413335,0.761101052108536,0.085506454797432,0.116834292949528,0.7501836501611714,0.1459054313045283,0.2050666826706236,0.6605889415482803,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
1,1,MSI_SVR,0.1073672355561008,0.1786283939663094,0.6863894618255499,0.2140741663677103,0.2911703828712473,0.4394301176944336,0.0553907941734875,0.0722408922148212,0.9007126412068471,0.0531482460283103,0.077266224538782,0.8907404084249322,0.0905089559274119,0.1532011158664413,0.8105652569240263,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
76,76,MSI_XGB,0.1043768488173063,0.1652757117176354,0.7290789981085573,0.2046493221214215,0.2631971846634988,0.5419658654367924,0.0477519684605159,0.0618697047840297,0.9271744382697245,0.0611371772993957,0.0949745599546651,0.8349198825760318,0.0584956811486796,0.0867511773560358,0.93925835750741,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 1000, 'xgb__subsample': 0.2}"
